Job Nature,Position Level,Job Category,Qualification,Salary,Company,Title,Description
"Contract, Temporary","Entry Level, Experienced","

Clinical/Medical, 
    
Pharmaceutical

","ITE/ NITEC/ Higher NITEC, Diploma, Bachelor's / Honours","

        2,000 SGD - 2,500 SGD / Month
      
      
",Recruit Express Pte Ltd,Contract Lab Technician (Pharma MNC/Lifescience) - HRE,"['', 'Interested Candidates please send your resumes to:', '', '', 'ATTN: Rachel E Hui En', '\n\nAlex Goh Hock Leong', 'CEI:\xa0R1763413', 'EA License No: 99C4599', '']"
Permanent,Experienced,"

IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,ECnet Limited,Programmer,[]
Permanent,Experienced,"

IT-Software/Development

",Diploma,0.0,ECnet Limited,Business Side BA Manager,[]
"Permanent, Contract","Entry Level, Experienced","

IT-Administration, 
    
IT-Software/Development, 
    
Multimedia/Web, 
    
Online/e-Commerce

","Diploma, Bachelor's / Honours, Masters / PhD","

        3,800 SGD - 7,000 SGD / Month
      
      
",STAFFHUB GROUP PTE. LTD.,IT Executive (Mobile Application) / IT Project Lead,"['\nIT Executive (Mobile Application) / IT Project Lead\n\n', 'Responsibilities  ', '- To develop, program new mobile applications, as well as maintain and implement new functionalities and features for existing mobile applications, integrating with defined APIs, databases and infrastructure. ', '- To write and maintain clean, reusable and efficient codes, using defined IDEs and tools. ', '- To perform internal tests and code reviews to identify mobile applications-related bugs, bottlenecks and/or quality issues, and work with the relevant parties to fix and resolve the same. ', '- To verify deliverables against the agreed qualities and standards as per the approved specifications. ', '- To arrange, coordinate and conduct user acceptance testing (UATs) and user training sessions, with involved partners, vendors, stakeholders and end-users, and follow-up on reported mobile application-related issues closely. ', '- To create, update and maintain proper specifications, such as functional, technical and/or database specifications. ', '', '\nRequirements ', '- Minimum a Diploma or Degree in IT or Computer Science, or equivalent.', '- At least 2-3 years of programming experience in Objective-C/Swift (for iOS) or Java/Javascript (for Android), with HTML5 and CSS3, along with 2-3 years of experience in working on the development and delivery of native mobile applications, is a must.', '- At least 2-3 years of experience working with MYSQL and NOSQL databases and tools, along with integration with web APIs and services, is a must.', '- Good understanding of mobile application design implementation (UX & UI) and mobile development concepts (e.g. MVC) as well as related technologies, SDKs, libraries and frameworks such as React Native, Node.js, etc.', '- Exposure to SCRUM and/or AGILE methodologies.', '', '']"
"Permanent, Contract","Entry Level, Experienced","

Investments/Fund Management

","Diploma, Bachelor's / Honours",0.0,THE ADVERTISER,Mutual Funds Executive (Entry Level),"['Mutual Funds Executive (Entry Level)', ' ', ' ', 'Responsibilities', '', 'Other Informations']"
Contract,Experienced,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Multimedia/Web

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,SYSTEMS ON SILICON MANUFACTURING COMPANY (SSMC),Senior Information Analyst/ Information Analyst (.Net) - 1 Yr Contract,"['Responsibilities:', 'Requirements:']"
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,MSB - System & Software Application Engineer,"['', 'Req. ID: 119226\xa0', 'Responsibilities : ', '- Perform systems design to support operation productivity initiatives, cost reduction and breakthrough activities', '- Design, code, test, and analyze software programs and applications for\xa0automation,\xa0manufacturing system and\xa0tracking system. This software consists of both internal Micron applications and third-party vendor applications.\n - Design, implement and manage mission critical databases and data warehouse for Manufacturing, yield improvement and Engineering operations', '-\xa0Evaluate and propose database tools, technologies and methodologies to continuously enhance database system performance, reliability and availability', '- Conduct and participate in research, design, documentation, and modification of software specifications throughout the software development life cycle\n - Take ownership for area of support and projects with understanding of business process in the area of responsibility\n - Work in several areas of software development as part of a team or independently\n - Participate, collaborate and work with global counterparts or customers on issues, and support improvement and development efforts\n - Proactively engage with customers to establish key areas of strategic technology to leverage competitive advantage of IT to support business needs\n - Demonstrate good understanding of business processes, of how core systems are used in business and their inter-related dependencies\n \xa0', 'Requirements :', '- Bachelor’s Degree in Computer/Electrical/Electronics Engineering/Computer Science/Computing', '- 2 to 3 years working experience with software development and support background\n - Good knowledge and programming experience in C#, C++, ASP.net, VB, PERL, SQL, HTML/CGI, SECS/GEM, XML/XSLT, Python, Andriod\xa0or iOS\xa0and SOAP messaging\n - Experience with database technologies such as Microsoft SQL, Oracle or similar products; experience with database programming and a working knowledge of SQL or PL/SQL\n - Knowledge in operating systems for Windows\n - Knowledge of software development life cycle and methodology\n - Understanding of the working of RDBMS\n - Ability to plan, develop and meet project delivery schedules, and to manage multiple software projects concurrently\n - Analytical, self-motivated, result-driven and able to work independently with minimal supervision\n - Customer-oriented with good interpersonal, communication and problem-solving skills\n - Fresh graduates are welcome to apply', '', 'Location: 990 Bendemeer Road, Singapore 339942', '', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || Central Singapore (SG-01) || Singapore (SG) || Backend Manufacturing || College || Regular || Engineering || #LI-IT1 ||\n \xa0', '\nJob Segment: \n Application Engineering, Developer, Manufacturing Engineer, Electronics Engineer, Oracle, Engineering, Technology\n \n \n ']"
Contract,Experienced,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,SYSTEMS ON SILICON MANUFACTURING COMPANY (SSMC),IT Engineer (.Net) - 2-Years Contract,"['Responsibilities:', '\xa0', 'Requirements:']"
Permanent,"Entry Level, Experienced","

Building/Construction

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,Dragages Singapore Pte Ltd,Document Controller,"['Responsibilities', '\xa0', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\nMaintain the projects\ndocuments database', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\nEnsure the timely\nturn-around of documentation issued internally or received externally. ', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Assist with other ad-hoc duties as assigned', '', '\n', 'Requirements', '\xa0', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\nDiploma in\nEngineering or equivalent. ', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\nMinimum\xa01\nyear of relevant working experience in the\xa0construction industry in Singapore ']"
"Contract, Temporary","Entry Level, Experienced","

Compensation & Benefits, 
    
Generalist, 
    
Training/Development

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Marina Bay Sands Pte Ltd,Recruiter - 6 months contract (Renewable),"['JOB SCOPE', 'JOB REQUIREMENTS']"
Permanent,"Entry Level, Experienced","

IT-Software/Development

",Diploma,0.0,ECnet Limited,BA Executives,"['Looking for 2 Junior BA executives to support day to day UAT, writing of test script, consolidating user requirement specs documents\n\nThe team also will support the Database operations in terms of managing the workload of the clerical staff, data extraction and management reporting where necessary', '1-2 years of experience']"
"Permanent, Contract","Entry Level, Student Job","

Business Development, 
    
Consulting, 
    
Corporate Communications/Public Relations, 
    
Training/Development

","'A' Levels, Diploma, Bachelor's / Honours","

        2,000 SGD - 3,500 SGD / Year
      
      
",Reich Consultancy,Business Development Executive | Entry Level Welcome,"['', '', 'Responsibilities:', '', 'Requirements:\n\n', 'Candidate with strong administrative and customer service\xa0background would be preferred', 'Cheerful and outgoing personality', '', ' ']"
Permanent,"Entry Level, Experienced","

Clerical/Admin, 
    
Training/Development

","'A' Levels, Diploma, Bachelor's / Honours","

        2,300 SGD - 2,900 SGD / Year
      
      
",Recruit Express Pte Ltd,Admin Coordinator - VlookUp and Pivot Table is COMPULSORY!!,"['Job Functions: \n\n', 'Requirements:\n\n']"
Permanent,"Entry Level, Experienced","

Clerical/Admin, 
    
Training

","'A' Levels, Diploma","

        2,500 SGD - 3,000 SGD / Year
      
      
",Recruit Express Pte Ltd,Admin Coordinator - Pivot Table & VlookUp must be good,"['\nJob Functions: ', 'Requirements:']"
Contract,Entry Level,"

Clerical/Admin, 
    
Procurement/Purchasing

",'A' Levels,0.0,W Foundations Pte Ltd,Purchaser Cum Admin ( 6 month contract),"['Description', '', 'PURCHASER', '', 'ADMIN', '\n\xa0\xa0 \n', 'Requirements']"
"Contract, Project Basis",Experienced,"

Oil & Gas

",Bachelor's / Honours,0.0,Halliburton,Senior Recruitment Specialist (Contract),"['Responsibilities', '', 'Requirements', 'Note: This\xa0is a \xa0contract position.\xa0Local candidates will be considered. Work visa will NOT be supported.']"
Permanent,Experienced,"

IT-Management, 
    
IT-Software/Development

","Bachelor's / Honours, Masters / PhD",0.0,LASALLE College of the Arts,Senior Executive (Enterprise Application),"['Reporting to the Director, Division of Information & Communications Technology and Manager (Applications Development), this position is part of the applications development team that manages the College’s enterprise applications. You are required to perform user requirement studies, database and software design, application development, implementation and providing technical support to users. In addition, you will be responsible for User Acceptance Testing, user training and maintenance of system documentation. You may also be required to manage and work closely with vendors to ensure operational efficiency and the smooth running of the systems to meet College’s business objectives. ', '', '', '\nPlease submit your letter of interest, current curriculum vitae and any relevant supporting materials, indicating current and expected salary and enclosing a recent passport-sized photograph, by e-mail to: [Click Here to Email Your Resume] before closing date 31 July 2018 or in writing (stating clearly the position applied on the envelope) to: ', '', '\nDirector - Division of Human Resources', 'LASALLE College of the Arts', '1 McNally Street, Singapore 187940', ' ', 'Information on the Institution and the position advertised above can be found at www.lasalle.edu.sg', ' ', 'We regret that only shortlisted candidates will be notified. ']"
0.0,0.0,"

Consumer Services, 
    
Customer Service, 
    
Hotels/Integrated Resorts

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Marina Bay Sands Pte Ltd,Casual Labour - Event Helper (Loyalty Marketing),"['Job Scope', 'JOB REQUIREMENTS']"
Permanent,"Entry Level, Experienced","

Call Centre, 
    
Business Development, 
    
Consumer Banking, 
    
Credit & Loan

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma","

        1,500 SGD - 3,000 SGD / Month
      
      
",THE ADVERTISER,Credit Card Sales Specialist,"['', '\nRequirement:']"
Permanent,Experienced,"

IT-Software/Development

",Bachelor's / Honours,0.0,HackerTrail,Full Stack Developer,[]
Permanent,"Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours","

        2,200 SGD - 3,000 SGD / Month
      
      
",Wizlearn Technologies,Asp.net Developer,"[' Wizlearn Technologies is looking for an experienced C# Developer / Team Lead to join our Information Technology team. The qualified individual will work on a .NET platform to develop and implement the English Teaching and Learning Portal.\n\nRequirements: ', '\xa0Asp.net Developer:', '\xa0Team Lead:', ' Must be self-motivated and able to work both independently and in conjunction with team members.\n\nInterested candidates are invited to apply online. ', ' Or write in with detailed resume to The HR Department [Click Here to Email Your Resume]\n\nOnly shortlisted candidates will be notified.', '', '', '', '', '', '']"
Permanent,Experienced,"

IT-Software/Development

",Bachelor's / Honours,0.0,HackerTrail,Full Stack Developer,[]
Permanent,"Entry Level, Experienced","

Sciences, 
    
Training/Development

","ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma",0.0,Recruit Express Pte Ltd,Training Coordinator - East/ Office Hours,[]
Permanent,Experienced,"

Electrical/Electronics

",Bachelor's / Honours,"

        4,000 SGD - 7,000 SGD / Year
      
      
",Tokyo Electron Singapore,Semiconductor Manufacturing Equipment Data Scientist,['']
"Contract, Temporary",Experienced,"

Financial Controller

","Diploma, Bachelor's / Honours","

        2,000 SGD - 3,000 SGD / Year
      
      
",Recruit Express Pte Ltd,3 Months Payroll Specialist (up to $3k),"['Job Duties:', '\nJob Requirement:', '*Pharma MNC', '*East (company bus provided at various locations)', '', 'Interested candidates please apply and send your updated resume to [Click Here to Email Your Resume] for more information, Thanks!', '', 'Huang JingSheng Kevyn', 'R1333338']"
Contract,Experienced,"

IT-Software/Development

",Bachelor's / Honours,0.0,Accion Labs Pte Ltd,Support Analyst,[]
"Contract, Temporary","Entry Level, Student Job","

Clerical/Admin, 
    
Corporate Banking, 
    
Data Entry, 
    
Office Operations

","'A' Levels, Diploma, Bachelor's / Honours","

        8.00 SGD - 10.00 SGD / Hour
      
      
",Recruit Express Pte Ltd,2 -3 Months Temp Admin ($8 - $10/ Central) (Ref: SWA),"['Location: Central', 'Salary:\xa0$8 - $10/hr', 'Working Hours: 9am - 6pm (Mon - Fri)', 'Industry:\xa0Government/\xa0Banking and Finance/ MNC\n\n', '', 'We regret that only shortlisted applicants will be notified.']"
"Contract, Temporary","Entry Level, Experienced","

Clerical/Admin

","Diploma, Bachelor's / Honours",0.0,Recruit Express Pte Ltd,Contract Admin Officer (German MNC) (Ref: JTL),[]
"Contract, Temporary","Entry Level, Student Job","

Clerical/Admin, 
    
Corporate Banking, 
    
Data Entry, 
    
Office Operations

","'A' Levels, Diploma, Bachelor's / Honours","

        8.00 SGD - 10.00 SGD / Hour
      
      
",Recruit Express Pte Ltd,*New* 3 - 4 months Temp Admin ($8 - $10/ Central) (Ref: SYL),"['Location: Central', 'Salary:\xa0$8 - $10/hr', 'Working Hours: 9am - 6pm (Mon - Fri)', 'Industry:\xa0Government/\xa0Banking and Finance/ MNC\n\n', '', 'We regret that only shortlisted applicants will be notified.']"
"Contract, Temporary","Entry Level, Student Job","

Clerical/Admin, 
    
Corporate Banking, 
    
Data Entry, 
    
Office Operations

","'A' Levels, Diploma, Bachelor's / Honours","

        8.00 SGD - 10.00 SGD / Hour
      
      
",Recruit Express Pte Ltd,*New* 3 months Temp Admin ($8 - $10/ Central) (Ref: SWA),"['Location: Central', 'Salary:\xa0$8 - $10/hr', 'Working Hours: 9am - 6pm (Mon - Fri)', 'Industry:\xa0Government/\xa0Banking and Finance/ MNC\n\n', '', 'We regret that only shortlisted applicants will be notified.']"
"Internship, Temporary","Entry Level, Student Job","

Clerical/Admin, 
    
Data Entry, 
    
Office Operations

","'N' Levels / 'O' Levels, 'A' Levels, Diploma","

        1,500 SGD - 2,000 SGD / Month
      
      
",Recruit Express Pte Ltd,*NEW* 2-6 Months Temp Admin Assistant/ Data Entry x 5 ($1600 - $1800),[]
"Contract, Temporary","Entry Level, Student Job","

Clerical/Admin, 
    
Customer Service, 
    
Data Entry, 
    
Office Operations

","'N' Levels / 'O' Levels, 'A' Levels, Diploma","

        1,500 SGD - 2,300 SGD / Year
      
      
",Recruit Express Pte Ltd,*NEW* 2-3 Months Temp HR Admin Intern (Financial Institutions),"['Job Responsibilities: ', 'Job Requirements:', '\xa0', 'Interested applicants please forward your\xa0detailed resume to [Click Here to Email Your Resume]\n', 'Attention to Tan Joanna (R1104661)\n', '(EA License No: 99C4599)']"
Permanent,"Entry Level, Experienced","

Call Centre, 
    
Sales Support/Coordination

","'A' Levels, Diploma",0.0,inCall Systems Pte Ltd,Inside Sales Representative,['We regret that only shortlisted candidates will be notified.']
"Contract, Part Time","Entry Level, Student Job","

IT-Software/Development, 
    
Multimedia/Web, 
    
Telesales/Telemarketing

","ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma","

        8.50 SGD - 9.50 SGD / Hour
      
      
",iqDynamics Pte Ltd,Temp Marketing Assistant,"['The marketing assistant will support the sales and marketing team to plan and execute a B2B lead generation program. He/She will assist in sourcing and prospecting new B2B leads and opportunities through various marketing channels including telemarketing, events and online marketing.\n\n ', '\xa0', 'Requirements: ', 'If you have an interest in developing a career in marketing or marcom, email your resume to [Click Here to Email Your Resume]. We regret that only shortlisted candidates will be notified. ']"
Permanent,"Entry Level, Experienced","

IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Troubleshoot

","Diploma, Bachelor's / Honours","

        2,500 SGD - 3,500 SGD / Month
      
      
",The World Management Pte Ltd,Application consultant,"['Responsibilities:  ', 'The person is responsible for the successful implementation of Sage 300(Accpac). Managing system/client projects starting from system study gathering, preparing program specifications, system testing, user training, system installation, problem solving and trouble shooting, implementation and continuous account monitoring.', 'Requirements: ', 'Looking for someone who is independent and is able to understand business workflow as well as financial and operational requirement. A keen interest in teaching, problem solving and learning new software and update is very important. He/She has to be very organise, hardworking, has a strong sense of responsibility, loyalty, motivation, can handle job pressure well, and with a good leadership skill.']"
Permanent,"Entry Level, Experienced","

Business Development, 
    
Digital/Online Marketing, 
    
Telesales/Telemarketing

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma",0.0,IV MICES Pte Ltd,Marketing Assistant,[]
